manufacturer,model,price_pln,rating,rating_count,availability,stock_quantity,url
Gibson,"Les Paul Slash ""Jessica"" HB/RB",10990.0,10.0,9,IN_STOCK,16,gibson_les_paul_slash_jessica_hb_rb.htm?type=category
Harley Benton,BM-75 Trans Red Deluxe Series,1290.0,9.485,268,IN_STOCK,68,harley_benton_bm_75_trans_red.htm?type=category
Gibson,Les Paul 58 Lemon Burst VOS,18666.0,10.0,4,IN_STOCK,7,gibson_les_paul_58_lemon_burst_vos.htm?type=category
Harley Benton,ST-20 SB Standard Series,379.0,8.5608,624,IN_STOCK,1272,harley_benton_hbms15sb_egitarre.htm?type=category
Harley Benton,ST-JAMster MDS,555.0,9.0588,34,IN_STOCK,700,harley_benton_st_jamster_mds.htm?type=category
Harley Benton,DC-Custom II Cherry,1155.0,9.3731,67,IN_STOCK,274,harley_benton_dc_custom_ii_cherry.htm?type=category
ESP,Snakebyte Camo,24990.0,,0,IN_STOCK,3,esp_snakebyte_camo.htm?type=category
Harley Benton,JA-60CC Lake Placid Blue,769.0,9.7142,98,IN_STOCK,38,harley_benton_ja_60cc_lake_placid_blue.htm?type=category
Harley Benton,Electric Guitar Kit TL T-Style,425.0,9.2727,44,IN_STOCK,495,harley_benton_electric_guitar_kit_tl_t_style.htm?type=category
Gibson,ES-335 Figured 60s Cherry,14290.0,9.6,5,IN_STOCK,5,gibson_es_335_figured_60s_cherry.htm?type=category
Harley Benton,Electric Guitar Kit ST-Style,339.0,8.4562,1188,IN_STOCK,348,harley_benton_eguitar_kit.htm?type=category
Gibson,Les Paul Studio Wine Red,5999.0,9.3333,9,IN_STOCK,1,gibson_les_paul_studio_wine_red.htm?type=category
Gibson,Les Paul Custom EB GH,21590.0,9.5206,121,IN_STOCK,4,gibson_lpcstbk.htm?type=category
Harley Benton,BS-20BK Rock Series,555.0,8.8952,105,IN_STOCK,285,harley_benton_bs_20bk_rock_series.htm?type=category
Harley Benton,TE-62 CC LPB,639.0,9.4042,188,IN_STOCK,260,harley_benton_te_62cc_lpb.htm?type=category
Harley Benton,Electric Guitar Kit Victory,555.0,8.6666,39,IN_STOCK,330,harley_benton_electric_guitar_kit_victory.htm?type=category
Gibson,SG Standard HC,6399.0,9.6923,65,IN_STOCK,22,gibson_sg_standard_hc.htm?type=category
Thomann,Guitar Set G13 Black,649.0,8.1627,86,IN_STOCK,1646,thomann_gitarren_set_g13.htm?type=category
Harley Benton,JA-60CC Shell Pink,769.0,9.5365,82,IN_STOCK,132,harley_benton_ja_60cc_shell_pink.htm?type=category
Harley Benton,SC-Custom Plus EMG VBK,1999.0,9.4901,51,IN_STOCK,97,harley_benton_sc_custom_plus_emg_vbk.htm?type=category
Harley Benton,ST-Modern HH TG,679.0,10.0,12,IN_STOCK,37,harley_benton_st_modern_hh_tg.htm?type=category
Harley Benton,R-458FFB Roasted MultiScale,1069.0,8.9387,49,IN_STOCK,33,harley_benton_r_458ffb_roasted_fanfret.htm?type=category
Harley Benton,R-457MN WH MultiScale,799.0,8.8421,228,IN_STOCK,75,harley_benton_r_457_wh_fanfret.htm?type=category
Dean Guitars,ML 79 Fld Flame Top Dunc Slime,4699.0,,0,IN_STOCK,7,dean_guitars_ml_79_fld_flame_top_dunc_slime.htm?type=category
Harley Benton,SC-450Plus GT Vintage Series,855.0,9.1702,94,IN_STOCK,66,harley_benton_sc_450plus_gt_vintage_series.htm?type=category
Harley Benton,R-446 Blood Metallic,679.0,9.3696,165,IN_STOCK,266,harley_benton_r_446_blood_metallic.htm?type=category
Harley Benton,R-458BK MultiScale,855.0,8.9518,187,IN_STOCK,25,harley_benton_r_458bk_fanfret.htm?type=category
Harley Benton,Custom Line ResoKing BK,1059.0,8.6029,272,IN_STOCK,122,harley_benton_custom_line_resoking_bk.htm?type=category
Squier,Sonic Strat HSS Black,748.0,9.4392,107,IN_STOCK,133,squier_sonic_strat_hss_black.htm?type=category
Harley Benton,SC-400 SBK Classic Series,589.0,8.9348,353,IN_STOCK,388,harley_benton_sc_400_sbk_vintage_series.htm?type=category
Harley Benton,Victory-BK Classic Series,598.0,8.5106,282,IN_STOCK,112,harley_benton_fv430bk.htm?type=category
